S_No,Airline_ID,Airline_Name,Flight_No,Seats_Available,From,To,Departure,Arrival,Duration,Stops,Price,Day,Month,Year
22,169,AirIndia,AI HE1271,32,New Delhi,Durgapur (RDP) NEW,19-12-2023 12:00,19-12-2023 14:00,2h30m,1,Rs. 14000 ,22,1,2023
23,169,AirIndia,AI HE1271,78,Kolkata,Gaya (GAY),01-09-2023 09:35,01-09-2023 02:35,5h00m,0,Rs. 8000 ,23,1,2023
24,169,AirIndia,AI HE1271,218,Chennai,Goa (GOI),16-11-2023 22:45,16-11-2023 13:15,2h30m,0,Rs. 19000 ,24,1,2023
25,169,AirIndia,AI HE1271,103,Goa,Gorakhpur (GOP),09-10-2023 15:15,09-10-2023 18:15,3h00m,0,Rs. 16900 ,25,1,2023
26,169,AirIndia,AI HE1271,69,Nagpur,Guwahati (GAU),08-09-2023 08:15,08-09-2023 00:30,4h15m,0,Rs. 6800 ,26,1,2023
27,169,AirIndia,AI HE1271,420,Nashik,Gwalior (GWL),13-08-2023 11:05,13-08-2023 18:35,7h30m,0,Rs. 7500 ,27,1,2023
28,169,AirIndia,AI HE1271,278,New Delhi,Hubli (HBX),24-04-2023 18:15,24-04-2023 23:30,5h30m,0,Rs. 12000 ,28,1,2023
29,,Indigo,,278,,Hyderabad (HYD),,,5h30m,,Rs. 12000 ,29,1,2023
30,,Indigo,,171,,Imphal (IMF),,,10h30m,,Rs. 13500 ,30,1,2023
31,,Indigo,,32,,Indore (IDR),,,2h30m,,Rs. 14000 ,1,2,2023
32,,Indigo,,78,,Itanagar (HGI),,,5h00m,,Rs. 8000 ,2,2,2023
33,,Indigo,,218,,Jabalpur (JLR),,,2h30m,,Rs. 19000 ,3,2,2023
34,,Indigo,,188,,Jaipur (JAI),,,4h30m,,Rs. 5000 ,4,2,2023
35,,Indigo,,103,,Jammu (IXJ),,,3h00m,,Rs. 16900 ,5,2,2023
36,,Indigo,,69,,Jodhpur (JDH),,,4h15m,,Rs. 6800 ,6,2,2023
37,,Indigo,,420,,Jorhat (JRH),,,7h30m,,Rs. 7500 ,7,2,2023
38,,GoAir,,278,,Kadapa (CDP),,,5h30m,,Rs. 12000 ,8,2,2023
39,,GoAir,,171,,Kannur (CNN) NEW,,,10h30m,,Rs. 13500 ,9,2,2023
40,,GoAir,,32,,Kanpur (KNU),,,2h30m,,Rs. 14000 ,10,2,2023
41,,GoAir,,78,,Kochi (COK),,,5h00m,,Rs. 8000 ,11,2,2023
42,,GoAir,,218,,Kolhapur (KLH),,,2h30m,,Rs. 19000 ,12,2,2023
43,,GoAir,,188,,Kolkata (CCU),,,4h30m,,Rs. 5000 ,13,2,2023
44,,GoAir,,103,,Kozhikode (CCJ),,,3h00m,,Rs. 16900 ,14,2,2023
45,,GoAir,,69,,Kurnool (KJB),,,4h15m,,Rs. 6800 ,15,2,2023
46,,GoAir,,420,,Leh (IXL),,,7h30m,,Rs. 7500 ,16,2,2023
47,,GoAir,,141,,Lucknow (LKO),,,5h30m,,Rs. 12000 ,17,2,2023
48,,AirIndia,,278,,Madurai (IXM),,,5h30m,,Rs. 12000 ,18,2,2023
49,,AirIndia,,171,,Mangaluru (IXE),,,10h30m,,Rs. 13500 ,19,2,2023
50,,AirIndia,,32,,Mumbai (BOM),,,2h30m,,Rs. 14000 ,20,2,2023
51,,AirIndia,,78,,Mysuru (MYQ),,,5h00m,,Rs. 8000 ,21,2,2023
52,,AirIndia,,218,,Nagpur (NAG),,,2h30m,,Rs. 19000 ,22,2,2023
53,,AirIndia,,103,,North Goa (GOX) NEW,,,3h00m,,Rs. 16900 ,23,2,2023
54,,AirIndia,,69,,Pantnagar (PGH),,,4h15m,,Rs. 6800 ,24,2,2023
55,,AirIndia,,420,,Patna (PAT),,,7h30m,,Rs. 7500 ,25,2,2023
56,,AirIndia,,278,,Port-Blair (IXZ),,,5h30m,,Rs. 12000 ,26,2,2023
57,,Indigo,,,,Prayagraj (IXD),,,5h30m,,Rs. 12000 ,27,2,2023
58,,Indigo,,,,Pune (PNQ),,,10h30m,,Rs. 13500 ,28,2,2023
59,,Indigo,,,,Raipur (RPR),,,2h30m,,Rs. 14000 ,29,2,2023
60,,Indigo,,,,Rajahmundry (RJA),,,5h00m,,Rs. 8000 ,30,2,2023
61,,Indigo,,,,Rajkot (RAJ),,,2h30m,,Rs. 19000 ,,,2023
62,,Indigo,,,,Ranchi (IXR),,,4h30m,,Rs. 5000 ,,,2023
63,,Indigo,,,,Shillong (SHL),,,3h00m,,Rs. 16900 ,,,2023
64,,Indigo,,,,Shirdi (SAG),,,4h15m,,Rs. 6800 ,,,2023
65,,Indigo,,,,Silchar (IXS),,,7h30m,,Rs. 7500 ,,,2023
66,,GoAir,,,,Srinagar (SXR),,,5h30m,,Rs. 12000 ,,,2023
67,,GoAir,,,,Surat (STV),,,10h30m,,Rs. 13500 ,,,2023
68,,GoAir,,,,Thiruvananthapuram (TRV),,,2h30m,,Rs. 14000 ,,,2023
69,,GoAir,,,,Tiruchirappalli (TRZ),,,5h00m,,Rs. 8000 ,,,2023
70,,GoAir,,,,Tirupati (TIR),,,2h30m,,Rs. 19000 ,,,2023
71,,GoAir,,,,Tuticorin (TCR),,,4h30m,,Rs. 5000 ,,,2023
72,,GoAir,,,,Udaipur (UDR),,,3h00m,,Rs. 16900 ,,,2023
73,,GoAir,,,,Vadodara (BDQ),,,4h15m,,Rs. 6800 ,,,2023
74,,GoAir,,,,Varanasi (VNS),,,7h30m,,Rs. 7500 ,,,2023
75,,GoAir,,,,Vijayawada (VGA),,,5h30m,,Rs. 12000 ,,,2023
76,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
77,,AirIndia,,,,,,,10h30m,,Rs. 13500 ,,,2023
78,,AirIndia,,,,,,,2h30m,,Rs. 14000 ,,,2023
79,,AirIndia,,,,,,,5h00m,,Rs. 8000 ,,,2023
80,,AirIndia,,,,,,,2h30m,,Rs. 19000 ,,,2023
81,,AirIndia,,,,,,,3h00m,,Rs. 16900 ,,,2023
82,,AirIndia,,,,,,,4h15m,,Rs. 6800 ,,,2023
83,,AirIndia,,,,,,,7h30m,,Rs. 7500 ,,,2023
84,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
85,,Indigo,,,,,,,5h30m,,Rs. 12000 ,,,2023
86,,Indigo,,,,,,,10h30m,,Rs. 13500 ,,,2023
87,,Indigo,,,,,,,2h30m,,Rs. 14000 ,,,2023
88,,Indigo,,,,,,,5h00m,,Rs. 8000 ,,,2023
89,,Indigo,,,,,,,2h30m,,Rs. 19000 ,,,2023
90,,Indigo,,,,,,,4h30m,,Rs. 5000 ,,,2023
91,,Indigo,,,,,,,3h00m,,Rs. 16900 ,,,2023
92,,Indigo,,,,,,,4h15m,,Rs. 6800 ,,,2023
93,,Indigo,,,,,,,7h30m,,Rs. 7500 ,,,2023
94,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
95,,GoAir,,,,,,,10h30m,,Rs. 13500 ,,,2023
96,,GoAir,,,,,,,2h30m,,Rs. 14000 ,,,2023
97,,GoAir,,,,,,,5h00m,,Rs. 8000 ,,,2023
98,,GoAir,,,,,,,2h30m,,Rs. 19000 ,,,2023
99,,GoAir,,,,,,,4h30m,,Rs. 5000 ,,,2023
100,,GoAir,,,,,,,3h00m,,Rs. 16900 ,,,2023
101,,GoAir,,,,,,,4h15m,,Rs. 6800 ,,,2023
102,,GoAir,,,,,,,7h30m,,Rs. 7500 ,,,2023
103,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
104,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
105,,AirIndia,,,,,,,10h30m,,Rs. 13500 ,,,2023
106,,AirIndia,,,,,,,2h30m,,Rs. 14000 ,,,2023
107,,AirIndia,,,,,,,5h00m,,Rs. 8000 ,,,2023
108,,AirIndia,,,,,,,2h30m,,Rs. 19000 ,,,2023
109,,AirIndia,,,,,,,3h00m,,Rs. 16900 ,,,2023
110,,AirIndia,,,,,,,4h15m,,Rs. 6800 ,,,2023
111,,AirIndia,,,,,,,7h30m,,Rs. 7500 ,,,2023
112,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
113,,Indigo,,,,,,,5h30m,,Rs. 12000 ,,,2023
114,,Indigo,,,,,,,10h30m,,Rs. 13500 ,,,2023
115,,Indigo,,,,,,,2h30m,,Rs. 14000 ,,,2023
116,,Indigo,,,,,,,5h00m,,Rs. 8000 ,,,2023
117,,Indigo,,,,,,,2h30m,,Rs. 19000 ,,,2023
118,,Indigo,,,,,,,4h30m,,Rs. 5000 ,,,2023
119,,Indigo,,,,,,,3h00m,,Rs. 16900 ,,,2023
120,,Indigo,,,,,,,4h15m,,Rs. 6800 ,,,2023
121,,Indigo,,,,,,,7h30m,,Rs. 7500 ,,,2023
122,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
123,,GoAir,,,,,,,10h30m,,Rs. 13500 ,,,2023
124,,GoAir,,,,,,,2h30m,,Rs. 14000 ,,,2023
125,,GoAir,,,,,,,5h00m,,Rs. 8000 ,,,2023
126,,GoAir,,,,,,,2h30m,,Rs. 19000 ,,,2023
127,,GoAir,,,,,,,4h30m,,Rs. 5000 ,,,2023
128,,GoAir,,,,,,,3h00m,,Rs. 16900 ,,,2023
129,,GoAir,,,,,,,4h15m,,Rs. 6800 ,,,2023
130,,GoAir,,,,,,,7h30m,,Rs. 7500 ,,,2023
131,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
132,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
133,,AirIndia,,,,,,,10h30m,,Rs. 13500 ,,,2023
134,,AirIndia,,,,,,,2h30m,,Rs. 14000 ,,,2023
135,,AirIndia,,,,,,,5h00m,,Rs. 8000 ,,,2023
136,,AirIndia,,,,,,,2h30m,,Rs. 19000 ,,,2023
137,,AirIndia,,,,,,,3h00m,,Rs. 16900 ,,,2023
138,,AirIndia,,,,,,,4h15m,,Rs. 6800 ,,,2023
139,,AirIndia,,,,,,,7h30m,,Rs. 7500 ,,,2023
140,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
141,,Indigo,,,,,,,5h30m,,Rs. 12000 ,,,2023
142,,Indigo,,,,,,,10h30m,,Rs. 13500 ,,,2023
143,,Indigo,,,,,,,2h30m,,Rs. 14000 ,,,2023
144,,Indigo,,,,,,,5h00m,,Rs. 8000 ,,,2023
145,,Indigo,,,,,,,2h30m,,Rs. 19000 ,,,2023
146,,Indigo,,,,,,,4h30m,,Rs. 5000 ,,,2023
147,,Indigo,,,,,,,3h00m,,Rs. 16900 ,,,2023
148,,Indigo,,,,,,,4h15m,,Rs. 6800 ,,,2023
149,,Indigo,,,,,,,7h30m,,Rs. 7500 ,,,2023
150,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
151,,GoAir,,,,,,,10h30m,,Rs. 13500 ,,,2023
152,,GoAir,,,,,,,2h30m,,Rs. 14000 ,,,2023
153,,GoAir,,,,,,,5h00m,,Rs. 8000 ,,,2023
154,,GoAir,,,,,,,2h30m,,Rs. 19000 ,,,2023
155,,GoAir,,,,,,,4h30m,,Rs. 5000 ,,,2023
156,,GoAir,,,,,,,3h00m,,Rs. 16900 ,,,2023
157,,GoAir,,,,,,,4h15m,,Rs. 6800 ,,,2023
158,,GoAir,,,,,,,7h30m,,Rs. 7500 ,,,2023
159,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
160,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
161,,AirIndia,,,,,,,10h30m,,Rs. 13500 ,,,2023
162,,AirIndia,,,,,,,2h30m,,Rs. 14000 ,,,2023
163,,AirIndia,,,,,,,5h00m,,Rs. 8000 ,,,2023
164,,AirIndia,,,,,,,2h30m,,Rs. 19000 ,,,2023
165,,AirIndia,,,,,,,3h00m,,Rs. 16900 ,,,2023
166,,AirIndia,,,,,,,4h15m,,Rs. 6800 ,,,2023
167,,AirIndia,,,,,,,7h30m,,Rs. 7500 ,,,2023
168,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
169,,Indigo,,,,,,,5h30m,,Rs. 12000 ,,,2023
170,,Indigo,,,,,,,10h30m,,Rs. 13500 ,,,2023
171,,Indigo,,,,,,,2h30m,,Rs. 14000 ,,,2023
172,,Indigo,,,,,,,5h00m,,Rs. 8000 ,,,2023
173,,Indigo,,,,,,,2h30m,,Rs. 19000 ,,,2023
174,,Indigo,,,,,,,4h30m,,Rs. 5000 ,,,2023
175,,Indigo,,,,,,,3h00m,,Rs. 16900 ,,,2023
176,,Indigo,,,,,,,4h15m,,Rs. 6800 ,,,2023
177,,Indigo,,,,,,,7h30m,,Rs. 7500 ,,,2023
178,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
179,,GoAir,,,,,,,10h30m,,Rs. 13500 ,,,2023
180,,GoAir,,,,,,,2h30m,,Rs. 14000 ,,,2023
181,,GoAir,,,,,,,5h00m,,Rs. 8000 ,,,2023
182,,GoAir,,,,,,,2h30m,,Rs. 19000 ,,,2023
183,,GoAir,,,,,,,4h30m,,Rs. 5000 ,,,2023
184,,GoAir,,,,,,,3h00m,,Rs. 16900 ,,,2023
185,,GoAir,,,,,,,4h15m,,Rs. 6800 ,,,2023
186,,GoAir,,,,,,,7h30m,,Rs. 7500 ,,,2023
187,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
188,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
189,,AirIndia,,,,,,,10h30m,,Rs. 13500 ,,,2023
190,,AirIndia,,,,,,,2h30m,,Rs. 14000 ,,,2023
191,,AirIndia,,,,,,,5h00m,,Rs. 8000 ,,,2023
192,,AirIndia,,,,,,,2h30m,,Rs. 19000 ,,,2023
193,,AirIndia,,,,,,,3h00m,,Rs. 16900 ,,,2023
194,,AirIndia,,,,,,,4h15m,,Rs. 6800 ,,,2023
195,,AirIndia,,,,,,,7h30m,,Rs. 7500 ,,,2023
196,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
197,,Indigo,,,,,,,5h30m,,Rs. 12000 ,,,2023
198,,Indigo,,,,,,,10h30m,,Rs. 13500 ,,,2023
199,,Indigo,,,,,,,2h30m,,Rs. 14000 ,,,2023
200,,Indigo,,,,,,,5h00m,,Rs. 8000 ,,,2023
201,,Indigo,,,,,,,2h30m,,Rs. 19000 ,,,2023
202,,Indigo,,,,,,,4h30m,,Rs. 5000 ,,,2023
203,,Indigo,,,,,,,3h00m,,Rs. 16900 ,,,2023
204,,Indigo,,,,,,,4h15m,,Rs. 6800 ,,,2023
205,,Indigo,,,,,,,7h30m,,Rs. 7500 ,,,2023
206,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
207,,GoAir,,,,,,,10h30m,,Rs. 13500 ,,,2023
208,,GoAir,,,,,,,2h30m,,Rs. 14000 ,,,2023
209,,GoAir,,,,,,,5h00m,,Rs. 8000 ,,,2023
210,,GoAir,,,,,,,2h30m,,Rs. 19000 ,,,2023
211,,GoAir,,,,,,,4h30m,,Rs. 5000 ,,,2023
212,,GoAir,,,,,,,3h00m,,Rs. 16900 ,,,2023
213,,GoAir,,,,,,,4h15m,,Rs. 6800 ,,,2023
214,,GoAir,,,,,,,7h30m,,Rs. 7500 ,,,2023
215,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
216,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
217,,AirIndia,,,,,,,10h30m,,Rs. 13500 ,,,2023
218,,AirIndia,,,,,,,2h30m,,Rs. 14000 ,,,2023
219,,AirIndia,,,,,,,5h00m,,Rs. 8000 ,,,2023
220,,AirIndia,,,,,,,2h30m,,Rs. 19000 ,,,2023
221,,AirIndia,,,,,,,3h00m,,Rs. 16900 ,,,2023
222,,AirIndia,,,,,,,4h15m,,Rs. 6800 ,,,2023
223,,AirIndia,,,,,,,7h30m,,Rs. 7500 ,,,2023
224,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
225,,Indigo,,,,,,,5h30m,,Rs. 12000 ,,,2023
226,,Indigo,,,,,,,10h30m,,Rs. 13500 ,,,2023
227,,Indigo,,,,,,,2h30m,,Rs. 14000 ,,,2023
228,,Indigo,,,,,,,5h00m,,Rs. 8000 ,,,2023
229,,Indigo,,,,,,,2h30m,,Rs. 19000 ,,,2023
230,,Indigo,,,,,,,4h30m,,Rs. 5000 ,,,2023
231,,Indigo,,,,,,,3h00m,,Rs. 16900 ,,,2023
232,,Indigo,,,,,,,4h15m,,Rs. 6800 ,,,2023
233,,Indigo,,,,,,,7h30m,,Rs. 7500 ,,,2023
234,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
235,,GoAir,,,,,,,10h30m,,Rs. 13500 ,,,2023
236,,GoAir,,,,,,,2h30m,,Rs. 14000 ,,,2023
237,,GoAir,,,,,,,5h00m,,Rs. 8000 ,,,2023
238,,GoAir,,,,,,,2h30m,,Rs. 19000 ,,,2023
239,,GoAir,,,,,,,4h30m,,Rs. 5000 ,,,2023
240,,GoAir,,,,,,,3h00m,,Rs. 16900 ,,,2023
241,,GoAir,,,,,,,4h15m,,Rs. 6800 ,,,2023
242,,GoAir,,,,,,,7h30m,,Rs. 7500 ,,,2023
243,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
244,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
245,,AirIndia,,,,,,,10h30m,,Rs. 13500 ,,,2023
246,,AirIndia,,,,,,,2h30m,,Rs. 14000 ,,,2023
247,,AirIndia,,,,,,,5h00m,,Rs. 8000 ,,,2023
248,,AirIndia,,,,,,,2h30m,,Rs. 19000 ,,,2023
249,,AirIndia,,,,,,,3h00m,,Rs. 16900 ,,,2023
250,,AirIndia,,,,,,,4h15m,,Rs. 6800 ,,,2023
251,,AirIndia,,,,,,,7h30m,,Rs. 7500 ,,,2023
252,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
253,,Indigo,,,,,,,5h30m,,Rs. 12000 ,,,2023
254,,Indigo,,,,,,,10h30m,,Rs. 13500 ,,,2023
255,,Indigo,,,,,,,2h30m,,Rs. 14000 ,,,2023
256,,Indigo,,,,,,,5h00m,,Rs. 8000 ,,,2023
257,,Indigo,,,,,,,2h30m,,Rs. 19000 ,,,2023
258,,Indigo,,,,,,,4h30m,,Rs. 5000 ,,,2023
259,,Indigo,,,,,,,3h00m,,Rs. 16900 ,,,2023
260,,Indigo,,,,,,,4h15m,,Rs. 6800 ,,,2023
261,,Indigo,,,,,,,7h30m,,Rs. 7500 ,,,2023
262,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
263,,GoAir,,,,,,,10h30m,,Rs. 13500 ,,,2023
264,,GoAir,,,,,,,2h30m,,Rs. 14000 ,,,2023
265,,GoAir,,,,,,,5h00m,,Rs. 8000 ,,,2023
266,,GoAir,,,,,,,2h30m,,Rs. 19000 ,,,2023
267,,GoAir,,,,,,,4h30m,,Rs. 5000 ,,,2023
268,,GoAir,,,,,,,3h00m,,Rs. 16900 ,,,2023
269,,GoAir,,,,,,,4h15m,,Rs. 6800 ,,,2023
270,,GoAir,,,,,,,7h30m,,Rs. 7500 ,,,2023
271,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
272,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
273,,AirIndia,,,,,,,10h30m,,Rs. 13500 ,,,2023
274,,AirIndia,,,,,,,2h30m,,Rs. 14000 ,,,2023
275,,AirIndia,,,,,,,5h00m,,Rs. 8000 ,,,2023
276,,AirIndia,,,,,,,2h30m,,Rs. 19000 ,,,2023
277,,AirIndia,,,,,,,3h00m,,Rs. 16900 ,,,2023
278,,AirIndia,,,,,,,4h15m,,Rs. 6800 ,,,2023
279,,AirIndia,,,,,,,7h30m,,Rs. 7500 ,,,2023
280,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
281,,Indigo,,,,,,,5h30m,,Rs. 12000 ,,,2023
282,,Indigo,,,,,,,10h30m,,Rs. 13500 ,,,2023
283,,Indigo,,,,,,,2h30m,,Rs. 14000 ,,,2023
284,,Indigo,,,,,,,5h00m,,Rs. 8000 ,,,2023
285,,Indigo,,,,,,,2h30m,,Rs. 19000 ,,,2023
286,,Indigo,,,,,,,4h30m,,Rs. 5000 ,,,2023
287,,Indigo,,,,,,,3h00m,,Rs. 16900 ,,,2023
288,,Indigo,,,,,,,4h15m,,Rs. 6800 ,,,2023
289,,Indigo,,,,,,,7h30m,,Rs. 7500 ,,,2023
290,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
291,,GoAir,,,,,,,10h30m,,Rs. 13500 ,,,2023
292,,GoAir,,,,,,,2h30m,,Rs. 14000 ,,,2023
293,,GoAir,,,,,,,5h00m,,Rs. 8000 ,,,2023
294,,GoAir,,,,,,,2h30m,,Rs. 19000 ,,,2023
295,,GoAir,,,,,,,4h30m,,Rs. 5000 ,,,2023
296,,GoAir,,,,,,,3h00m,,Rs. 16900 ,,,2023
297,,GoAir,,,,,,,4h15m,,Rs. 6800 ,,,2023
298,,GoAir,,,,,,,7h30m,,Rs. 7500 ,,,2023
299,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
300,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
301,,AirIndia,,,,,,,10h30m,,Rs. 13500 ,,,2023
302,,AirIndia,,,,,,,2h30m,,Rs. 14000 ,,,2023
303,,AirIndia,,,,,,,5h00m,,Rs. 8000 ,,,2023
304,,AirIndia,,,,,,,2h30m,,Rs. 19000 ,,,2023
305,,AirIndia,,,,,,,3h00m,,Rs. 16900 ,,,2023
306,,AirIndia,,,,,,,4h15m,,Rs. 6800 ,,,2023
307,,AirIndia,,,,,,,7h30m,,Rs. 7500 ,,,2023
308,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
309,,Indigo,,,,,,,5h30m,,Rs. 12000 ,,,2023
310,,Indigo,,,,,,,10h30m,,Rs. 13500 ,,,2023
311,,Indigo,,,,,,,2h30m,,Rs. 14000 ,,,2023
312,,Indigo,,,,,,,5h00m,,Rs. 8000 ,,,2023
313,,Indigo,,,,,,,2h30m,,Rs. 19000 ,,,2023
314,,Indigo,,,,,,,4h30m,,Rs. 5000 ,,,2023
315,,Indigo,,,,,,,3h00m,,Rs. 16900 ,,,2023
316,,Indigo,,,,,,,4h15m,,Rs. 6800 ,,,2023
317,,Indigo,,,,,,,7h30m,,Rs. 7500 ,,,2023
318,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
319,,GoAir,,,,,,,10h30m,,Rs. 13500 ,,,2023
320,,GoAir,,,,,,,2h30m,,Rs. 14000 ,,,2023
321,,GoAir,,,,,,,5h00m,,Rs. 8000 ,,,2023
322,,GoAir,,,,,,,2h30m,,Rs. 19000 ,,,2023
323,,GoAir,,,,,,,4h30m,,Rs. 5000 ,,,2023
324,,GoAir,,,,,,,3h00m,,Rs. 16900 ,,,2023
325,,GoAir,,,,,,,4h15m,,Rs. 6800 ,,,2023
326,,GoAir,,,,,,,7h30m,,Rs. 7500 ,,,2023
327,,GoAir,,,,,,,5h30m,,Rs. 12000 ,,,2023
328,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
329,,AirIndia,,,,,,,10h30m,,Rs. 13500 ,,,2023
330,,AirIndia,,,,,,,2h30m,,Rs. 14000 ,,,2023
331,,AirIndia,,,,,,,5h00m,,Rs. 8000 ,,,2023
332,,AirIndia,,,,,,,2h30m,,Rs. 19000 ,,,2023
333,,AirIndia,,,,,,,3h00m,,Rs. 16900 ,,,2023
334,,AirIndia,,,,,,,4h15m,,Rs. 6800 ,,,2023
335,,AirIndia,,,,,,,7h30m,,Rs. 7500 ,,,2023
336,,AirIndia,,,,,,,5h30m,,Rs. 12000 ,,,2023
337,,Indigo,,,,,,,5h30m,,Rs. 12000 ,,,2023
338,,Indigo,,,,,,,10h30m,,Rs. 13500 ,,,2023
339,,Indigo,,,,,,,2h30m,,Rs. 14000 ,,,2023
340,,Indigo,,,,,,,5h00m,,Rs. 8000 ,,,2023
341,,Indigo,,,,,,,2h30m,,Rs. 19000 ,,,2023
